Όνομα,Απόσταση από νοσοκομείο,Αστέρια,E-Mail,Τηλέφωνο,Αριθμός Φαξ,Πόλη,Ταχυδρομικός Κώδικας,Ιστοσελίδα,Τηλέφωνο 2,Εναλλακτικό Τηλέφωνο,Διεύθυνση,Εναλλακτικό Φαξ
ΚΟΣΜΟΠΟΛΙΤΑΝ,"


2 Χλμ
",3,cosmopolitankos@gmail.com,22420-23411,22420-23428,Κως,853 00,www.cosmopolitanhotel.com,22420-23412,2242-022365,ΕΘΕΛΟΝΤΩΝ ΠΑΛΑΙΩΝ ΠΟΛΕΜΙΣ,2242-028570
ΚΟΣΜΟΠΟΛΙΤΑΝ,"


3 Χλμ
",4,reservations.cosmopolitan@zeushotels.gr,22410-75422,2241032823,Ιαλυσός,851 01,www.zeushotels.gr,22410-75425,2810398634,ΙΞΙΑ ΡΟΔΟΥ,2810398589
ΚΟΣΜΟΣ,,3,,22410-94080,,Ιαλυσός,851 01,,22410-094086,,ΙΑΛΥΣΟΣ ΡΟΔΟΥ,
ΚΟΣΜΟΣ ΜΑΡΙΣ,,2,cosmosmaris@yahoo.gr,22440-44230,,Γεννάδι,851 09,,,,ΓΕΝΝΑΔΙ ΛΟΘΙΑΡΙΚΑ ΛΑΡΔΟΥ,
ΚΟΣΤΑ ΓΚΡΑΝΤ,,5,info@costagrand.com,2286024580,2286025030,Θήρα,84700,www.costagrand.com,,,,
ΚΟΣΤΑ ΛΙΝΔΙΑ,"


60 Χλμ
",5,montemar@otenet.gr,22440-44097,22440-44523,Λάρδος,851 09,www.costalindia.gr,22440-44036,,ΛΟΘΙΑΡΙΚΑ ΛΑΡΔΟΥ ΡΟΔΟΥ,
ΚΟΣΤΑ ΠΑΛΑΣ,,4,info@kosta-palace.com,2242022856,,Κως,85300,www.kosta-palace.com,2242022855,,ΑΚΤΗ ΚΟΥΝΤΟΥΡΙΩΤΟΥ,
ΚΟΥΚΟΣ,,4,infokoukos@yahoo.gr,22410-73022,22410-34233,Ρόδος,851 00,www.koukoscafe.gr,,,ΚΑΘΟΠΟΥΛΗ 19,
ΚΟΥΚΟΥΜΙ,,4,info@koukoumihotel.com,6987321435,2108046888,Μύκονος,84600,www.koukoumihotel.com,6987321435,2108046888,,2108046888
ΚΟΥΜΠΑΡΑ ΣΑΝ ΣΕΤ,"


2 Χλμ
",3,info@sunsetresort.gr,22860-91956,22860-91955,Ίος,840 01,www.sunsetresort.gr,,21-09605328,ΚΟΥΜΠΑΡΑ ΙΟΥ,
ΚΟΥΡΟΣ,"


36 Χλμ
",1,hotelkourosnaxos@gmail.com,22850-67000,22850-67140,Απόλλωνας,843 11,hotelkouros.blogspot.com,,,ΑΠΟΛΛΩΝΑΣ ΝΑΞΟΥ,
ΚΟΥΡΟΣ,"


0.8 Χλμ
",5,info@kouros-hotel.com,22890-25381,22890-25379,Μύκονος,846 00,www.kouroshotelmykonos.gr,,21-08990032,ΤΑΓΚΟΥ- ΜΥΚΟΝΟΣ,21-08954937
ΚΟΥΡΟΣ ΠΑΛΛΑΣ,"


24 Χλμ
",5,info@kourospalace.com,22420-59312,,Μαστιχάρι,853 02,www.kourospalace.com,22420-59312,,ΜΑΣΤΙΧΑΡΙ - ΚΩΣ,
ΚΟΥΡΟΣ-ΣΤΕΛΙΔΑ-ΝΑΞΟΣ,,4,info@kouros-naxos.com,22850-24964,22850-22850,Στελίδα,843 00,www.kouros-naxos.com,29152,,ΣΤΕΛΙΔΑ ΝΑΞΟΥ,
ΚΟΥΦΟΝΗΣΙΑ ΡΗΖΟΡΤ,,4,info@hotelkoufonisia.gr,22850-74067,22850-71745,Κουφονήσι,843 00,www.hotelkoufonisia.gr,22850-74068,,ΚΟΥΦΟΝΗΣΙΑ,
ΚΡΕΣΤΕΝ ΠΑΛΛΑΣ,"


6 Χλμ
",4,gm@krestenhotels.gr,22410-62714,22410-67325,Κοσκινού,851 00,www.krestenpalace.gr,22410-64612,2241-062714,6ΧΛΜ ΛΕΩΦ.ΡΟΔΟΥ-ΚΑΛΛΙΘΕΑΣ,2241-065976
ΚΡΕΣΤΕΝ ΡΟΥΑΓΙΑΛ,"


6 Χλμ
",5,gm@krestenhotels.gr,22410-03650,22410-67325,Κοσκινού,851 00,www.thekrestenroyal.gr,,,6ΧΛΜ. ΡΟΔΟΥ-ΚΑΛΛΙΘΕΑΣ,
ΚΡΗΤΙΚΑΚΗΣ ΒΙΛΑΤΖ,,3,info@kritikakis.gr,22860-91100,22860-91102,Ίος,840 01,,22860-91101,,,
ΚΡΙΝΟΣ,"


0.15 Χλμ
",3,contact@krinoshotel.com,22820-42038,22820-41787,Μπατσί,845 00,www.krinoshotel.com,,22820-42038,ΜΠΑΤΣΙ ΑΝΔΡΟΥ,
ΚΡΙΝΟΣ,"


10 Χλμ
",2,nikoandtina@yahoo.com,22450-71410,22450-71413,Λευκός,857 00,www.krinoshotelkarpathos.com,22450-71412,2245-071222,ΛΕΥΚΟΣ ΜΕΣΟΧΩΡ.ΚΑΡΠΑΘΟΥ,2245-071413
ΚΡΙΣ,"


0.2 Χλμ
",2,theogryllis08@gmail.com,6973036800,22470-32877,Πάτμος,855 00,www.patmoschrishotel.gr,22470-31001,6973036800,ΠΑΤΜΟΣ (ΣΚΑΛΑ),
ΚΡΙΣ-ΜΑΡΙ,"


0.5 Χλμ
",3,reservations@cleopatrahotels.com,22420-91642,22420-91034,Καρδάμαινα,853 02,www.cleopatrahotels.gr,,2242-091463,ΚΑΡΔΑΜΑΙΝΑ ΚΩ,2242-091034
ΚΡΟΚΟΣ,"


1.5 Χλμ
",3,krokosvi@otenet.gr,22860-22488,22860-25224,Ημεροβίγλι,847 00,www.krokosvillas.com,22860-25223,6973-230643,ΗΜΕΡΟΒΙΓΛΙ ΘΗΡΑΣ,2286-025557
ΚΡΥΣΤΑΛ,"


0.15 Χλμ
",2,,22410-51515,,Αφάντου,851 03,,,,25ΗΣ ΜΑΡΤΙΟΥ 45,
ΚΥΚΛΑΔΕΣ,"


0.6 Χλμ
",2,hotelcyclades@otenet.gr,2281042255,2281043178,Φοίνικας,841 00,www.hotelcyclades.com,,2281042255,ΦΟΙΝΙΚΑΣ ΣΥΡΟΥ,2281043178
ΚΥΚΛΑΔΕΣ,"


0.6 Χλμ
",2,contact@hotel-cyclades.com,22840-24859,22840-22048,Πάρος,844 00,www.hotel-cyclades.com,6939248457,21-02931425,ΛΕΙΒΑΔΙ ΠΑΡΟΙΚΙΑΣ ΠΑΡΟΥ,
ΚΥΚΛΑΔΕΣ,"


1 Χλμ
",1,hotelcyclades@gmail.com,22860-22948,22860-23011,Καρτεράδος,847 00,,22860-24543,2286-082571,,2286-022948
ΚΥΚΛΑΔΕΣ,"


4 Χλμ
",1,info@hotelcycladesserifos.com,22810-51315,22810-51180,Σέριφος,840 05,www.hotelcycladesserifos.com,22810-51180,6944-244253,ΛΕΙΒΑΔΙ ΣΕΡΙΦΟΥ,21-9510281
ΚΥΚΛΑΔΙΚΑ ΝΗΣΙΑ,,4,info@cycladicview.com,22850-42537,22850-42731,Αγία Αννα,843 00,www.cycladicview.com,22850-41958,,ΑΓΙΑ ΑΝΝΑ ΝΑΞΟΥ,
ΚΥΚΝΟΣ,"


0.8 Χλμ
",1,gkarasavas@gmail.com,22410-94502,22410-67134,Ιαλυσός,851 01,,,2241-094502,ΗΡΑΚΛΕΙΔΩΝ 18,
ΚΥΜΑ,"


1 Χλμ
",5,khotels@myconiancollection.gr,22890-23431,22890-23455,Μύκονος,846 00,www.myconiancollection.gr,22890-23415,2289-022479,Τ.Θ. 64,2289-023455
ΚΥΜΑΤΑ,"


0.7 Χλμ
",2,info@hotelkymata.com,22850-22080,22850-24825,Νάξος,843 00,www.hotelkymata.com,22850-22438,,ΧΩΡΑ ΝΑΞΟΥ,
ΚΥΠΡΙΩΤΗΣ ΜΑΡΙΣ ΞΕΝΟΔΟΧΕΙΟ ΚΑΙ ΣΟΥΪΤΕΣ,"


3 Χλμ
",5,info@kipriotis.gr,22420-57150,22420-21936,Κως,853 00,www.kipriotis.gr,22420-57000,2242-055417,ΨΑΛΙΔΙ ΚΩ,2242-055656
ΚΥΠΡΙΩΤΗΣ-ΠΑΝΟΡΑΜΑ,"


3.5 Χλμ
",5,pa.kipriotis@kipriotis.gr,22420-57000,22420-29974,Κως,853 00,www.iberostar.com,,2242-057000/29969,ΨΑΛΙΔΙ ΚΩΣ,2242-029974
ΚΥΡΑ ΠΑΝΑΓΙΑ,"


16 Χλμ
",3,kyrapanagiahotel@gmail.com,22450-23026,22450-23027,Απέριον,857 00,www.kyrapanagiahotel.gr,,2245-031473,ΚΥΡΑ ΠΑΝΑΓΙΑ,
ΚΥΡΗΝΗ,"


1 Χλμ
",4,info@kirini.com,+30 22860 71214,+30 22860 71312,Οία,847 02,https://www.katikies.com/kirinisantorini/location-contact/,,,ΟΙΑ ΘΗΡΑΣ,
ΚΥΡΙΑΚΗ,"


1 Χλμ
",3,info@sundayhotelantiparos.gr,22840-61474,22840-61105,Αντίπαρος,840 07,www.kyklades.com.gr/sites/dimitra,6977-417860,2284-061247,,
ΚΩΝΣΤΑΝΤΙΝΟΣ ΗΛΙΟΣ,"


3 Χλμ
",3,info@ilioshotel.com,2242069411,22420-69173,Τιγκάκι,853 00,www.ilioshotel.com,22420-69412,2242-069411,ΠΑΡΟΔΟΣ ΚΑΝΑΡΗ 10,2242-069173
ΚΩΝΣΤΑΝΤΙΝΟΣ ΗΛΙΟΣ ΙΙ,"


12 Χλμ
",3,info@ilioshotel.com,22420-69411,22420-69173,Τιγκάκι,853 00,www.ilioshotel.com,22420-68465,2242-069411,,
ΚΩΝΣΤΑΝΤΙΝΟΣ ΠΑΛΛΑΣ,"


1 Χλμ
",5,info@konstantinospalace.gr,22450-23401,22450-23413,Κάρπαθος,857 00,www.konstantinospalace.gr,023485,,ΠΗΓΑΔΙΑ ΚΑΡΠΑΘΟΥ,
ΚΩΣ,"


0.8 Χλμ
",4,sales@koshotel.gr,2242047100,2242025848,Κως,853 00,www.koshotel.gr,,,ΧΑΡΜΥΛΟΥ 2,
ΚΩΣ ΑΚΤΙΣ,"


0.05 Χλμ
",4,sales@kosaktis.gr,22420-47200,22420-47210,Κως,853 00,www.kosaktis.gr,,,ΒΑΣ.ΓΕΩΡΓΙΟΥ 7,
ΚΩΣ ΙΜΠΕΡΙΑΛ,"


4 Χλμ
",5,prodromos.kesisoglou@grecotel.com,22420-58000,22420-25192,Κως,853 00,www.kosimperial.com,22420-58100,,ΨΑΛΙΔΙ ΚΩΣ,
ΚΩΣ ΜΠΕΥ,"


0.7 Χλμ
",2,stamoglouhotels@yahoo.gr,22420-26126,22420-22387,Κως,853 00,www.kosbay.com,22420-22387,2242-022387,ΑΡΤΕΜΗΣΙΑΣ ΤΕΡΜΑ,2242-022387
ΚΩΣΤΑ ΑΝΤΖΕΛΑ,"


5.5 Χλμ
",3,info@costaangelahotel.gr,22420-91000,22420-24300,Κως,853 00,www.costaangelahotel.gr,,6944-333881,,2242-024300
ΚΩΣΤΑΣ,"


3.5 Χλμ
",1,,22890-23090,,Ορνός,846 00,,,2289-023090,ΟΡΝΟΣ ΜΥΚΟΝΟΥ,
ΚΩΣΤΕΛ,"


0.1 Χλμ
",2,,22420-22969,,Κως,853 00,,,2242-022969,ΚΟΡΑΗ 11,
ΛΑ ΜΑΛΤΕΖ,"


3 Χλμ
",4,info@lamaltese.com,22860-24701,22860-24702,Ημεροβίγλι,847 00,www.lamaltese.com,,,ΗΜΕΡΟΒΙΓΛΙ ΘΗΡΑΣ,
ΛΑΓΚΑΣ ΧΩΡΙΟ ΑΙΓΑΙΟΥ,"


1.5 Χλμ
",4,info@aegeanvillage.com,+302242091401,+302242091635,Καρδάμαινα,853 02,www.aegeanvillage.com,+302242091402,21-06835455,ΚΑΡΔΑΜΑΙΝΑ ΚΩ,21-06835456
ΛΑΓΟΣ ΜΑΡΕ,"


3 Χλμ
",4,info@lagosmare.gr,22850-42844,22850-42845,Άγιος Προκόπιος,843 00,www.lagosmare.gr,,210-4003720,ΑΓ.ΠΡΟΚΟΠΙΟΣ ΝΑΞΟΥ,210-4002523
ΛΑΔΙΚΟ,"


4 Χλμ
",3,porta_diakosmisi@yahoo.gr,2241085536,22410-85560,Καλυθιές,851 05,www.ladikohotel.gr,6945401442,2241-085536,ΛΑΔΙΚΟ,2241-085560
ΛΑΚΚΙ ΠΑΡΑΛΙΑ,"


6 Χλμ
",2,lakkibeachhotel@gmail.com,22450-81015,22450-81015,Λακκί,857 00,www.lakkibeachhotel.gr,,210-4118923,,210-4118923
ΛΑΜΠΕΡΗ ΖΩΗ,"


5 Χλμ
",3,brillantezoi@yahoo.gr,22880-22685,22880-22687,Κορησσία,840 02,www.hotelbrillante.gr,22880-22686,,,
ΛΑΜΠΕΡΟΣ ΗΛΙΟΣ,,2,kapiotakos@hotmail.com,22440-44014,22440-44547,Λάρδος,851 09,,,,,
ΛΑΜΠΕΤΙΑ ΒΙΛΛΑΣ,"


0.3 Χλμ
",4,info@lampetia.gr,22860-71237,,Οία,847 00,,210-9837010,21-09816248,ΟΙΑ ΘΗΡΑΣ,21-09837010
ΛΑΜΠΗ ΡΗΖΟΡΤ,,4,th.pellos@gmail.com,2242441900,,Κως,85300,,,,,
ΛΑΜΠΡΟ ΑΣΤΕΡΙ,"


15 Χλμ
",2,info@brightstarhotel.gr,22410-87272,,Φαληράκι,851 05,www.brightstarhotel.gr,22410-87254,22410-87021,ΤΑΧ.ΘΥΡΙΔΑ 178,
ΛΑΝΚΟ,"


0.5 Χλμ
",5,manager@langohotel.com,6947077600,22420-49010,Κως,853 00,www.langohotel.com,6947077600,,ΛΑΜΠΗ ΚΩΣ,2242-026446
ΛΑΝΤΕΡΗΣ,"


0.2 Χλμ
",2,hotelminoalanderis@yahoo.com,22850-74055,22850-71003,Κατάπολα,840 08,www.travel-to-amorgos.com,22850-71480,,ΚΑΤΑΠΟΛΑ ΑΜΟΡΓΟΥ,
ΛΑΟΚΑΣΤΗ ΒΙΛΛΑΣ,"


1 Χλμ
",3,info@laokasti-santorini.com,22860-71343,22860-71116,Οία,847 02,www.laokasti-santorini.com,22860-71524,21-08068901,ΟΙΑ ΘΗΡΑΣ,
ΛΑΟΥΡΑ,"


2 Χλμ
",2,laurahotel@windowslive.com,22420-28981,22420-20086,Κως,853 00,,22420-24209,2242-029346,ΛΑΜΠΗ ΚΩΣ,
ΛΑΧΑΝΙΑ,,1,villa.lahania@gmail.com,22440-46121,,Λαχανιά,851 09,,,,ΛΑΧΑΝΙΑ ΡΟΔΟΥ,
ΛΕΑΝΔΡΟΣ,"


0.6 Χλμ
",2,leandroshotel@gmail.com,22830-23545,22830-24390,Τήνος,842 00,,,2283-023545,ΤΗΝΟΣ,2283-024390
ΛΕΒΑΝΤΕ,"


9 Χλμ
",2,santorini@levante.gr,22860-32340,22860-32342,Καμάρι,847 00,www.levante.gr,22860-32341,2286-032340,ΚΑΜΑΡΙ ΘΗΡΑΣ,2286-032342
ΛΕΒΑΝΤΕΣ,"


1.5 Χλμ
",4,info@levantes.gr,22860-92588,22860-92587,Μυλοπότας,840 01,www.levantes.gr,,,,2286-092587
ΛΕΙΒΑΔΙΑ,"


0.6 Χλμ
",1,hotellivadia@yahoo.gr,22840-21597,22840-21597,Πάρος,844 00,www.hotellivadia.gr,,2284-024262,ΛΕΙΒΑΔΙΑ ΠΑΡΟΥ,2284-021597
ΛΕΝΑΚΙ,"


2 Χλμ
",2,stamatistiras@lenaki.com,22420-23851,22420-21188,Κως,853 00,www.lenaki.com,,,ΠΡΟΕΚΤΑΣΗ ΠΑΜΦΥΛΩΝ ΚΩΣ,
ΛΕΟΝΑΡΝΤΟ ΚΟΛΥΜΠΙΑ ΡΙΖΟΡΤ,"


25 Χλμ
",5,info@mistralhotel.gr,22410-56350,22410-56293,Κολύμπια,851 03,www.mistralhotel.gr,22410-56420,2241-056346,ΚΟΛΥΜΠΙΑ ΡΟΔΟΥ,2241-056293
ΛΕΡΟΣ ΠΡΙΝΣΕΣ,"


0.4 Χλμ
",2,info@lerosprincess.com,22470-24140,22470-24194,Αγία Μαρίνα,854 00,www.lerosprincess.com,22470-24540,,ΑΛΙΝΤΑ ΛΕΡΟΥ,2247-024194
ΛΕΥΚΑ,"


3 Χλμ
",2,lefkaapart@yahoo.gr,22410-34959,22410-36792,Ρόδος,851 00,,22410-36792,6937-813117,ΚΟΚΚΙΔΗ 4,
ΛΕΥΚΑ ΣΠΙΤΙΑ,"


0.2 Χλμ
",2,whitehousestudiosgr@yahoo.com,22450-22973,22450-23226,Κάρπαθος,857 00,,,2245-022973,ΚΑΡΠΑΘΟΣ,
ΛΕΥΚΟ ΛΙΝΔΟΥ,"


4 Χλμ
",4,info@lindoswhite.gr,22440-31522,22440-31523,Λίνδος,851 07,www.lindoswhite.gr,,6944-603143,ΒΛΗΧΑ ΡΟΔΟΥ,2244-031500
ΛΕΥΤΕΡΗΣ,"


2 Χλμ
",1,info@lefterishotel.gr,2289023128,22890-23128,Μύκονος,846 00,www.lefterishotel.gr,,6973232163,ΑΠΟΛΛΩΝΟΣ 9,
ΛΕΩΝΙΔΑΣ,,2,info@leonidashotel.com,22420-26921,22420-22561,Κως,853 00,www.leonidashotel.com,,6973740330,ΛΑΜΠΗ ΚΩ,
ΛΗΔΡΑΣ,,4,hotel@ledras.pl,000-0000000,,Γεννάδι,85109,https://ledras.pl,,,,
ΛΗΤΩ,"


1 Χλμ
",4,reservations@letohotel.com,22890-22207,22890-24365,Μύκονος,846 00,www.letohotel.com,22890-22918,2289-022207,ΜΥΚΟΝΟΣ,2289-023985
ΛΗΤΩ,"


2.5 Χλμ
",3,owner@lito-hotel.com,22410-23511/2,22410-20310,Ιαλυσός,851 01,www.lito-hotel.com,,2241-023511,Τ.Θ.255 ΛΕΩΦ.ΗΡΑΚΛΕΙΔΩΝ,2241-020310
ΛΗΤΩ,"


0.6 Χλμ
",2,info@hotel-lito-tinos.gr,22830-22791,22830-22793,Τήνος,842 00,www.hotel-lito-tinos.gr,,,ΑΚΤΗ ΕΛΕΥΘΕΡΙΟΥ ΒΕΝΙΖΕΛΟΥ,
ΛΙΑΚΑΔΑ,,3,helenagimela@hotmail.com,22420-69942,,Τιγκάκι,853 00,,,,ΤΙΓΚΑΚΙ ΚΩΣ,
ΛΙΑΝΑ,,3,antonis@lianahotel.com,6945971562,,Άγιος Προκόπιος,843 00,www.lianahotel.com,,2285042522,ΑΓΙΟΣ ΠΡΟΚΟΠΙΟΣ ΝΑΞΟΥ,
ΛΙΖΑ,"


2 Χλμ
",2,lisahotelrhodes@gmail.com,22410-93557,22410-93181,Ιαλυσός,851 01,,22410-93181,2241-093557,,2241-093181
ΛΙΘΟΣ ΑΠΟ ΣΠΥΡΟ & ΦΛΩΡΑ,,4,info@lithos-mykonos.com,22890-78989,22890-27506,Μύκονος,846 00,www.lithos-mykonos.com,,,ΑΓΙΟΣ ΙΩΑΝΝΗΣ,
ΛΙΛΑ,"


0.15 Χλμ
",4,info@guesthouse.gr,22810-82738,22810-82760,Ερμούπολη,841 00,www.guesthouse.gr,,,Ι.ΚΟΣΜΑ  &  ΦΙΛ.ΕΤΑΙΡΕΙΑΣ,
ΛΙΛΙΟΥΜ,,5,info@lilium-v.gr,2286025333,,Μεσαριά,84700,,,,,
ΛΙΝΔΙΑ ΑΘΗΝΑ,,3,lindosathena@otenet.gr,22440-31398,2244 0 31318,Λίνδος,851 07,,,,ΚΡΑΝΑ,
ΛΙΝΔΙΑ ΘΑΛΑΣΣΑ,"


60 Χλμ
",3,info@lindiathalassa.gr,22440-29380,22440-48163,Πεύκοι,851 07,www.lindiathalassa.gr,22440-29381,,ΠΕΥΚΟΙ ΛΙΝΔΟΥ ΡΟΔΟΥ,
ΛΙΝΔΙΟ ΣΤΟΛΙΔΙ,"


4 Χλμ
",2,info@lindianjewel.com,22440-33033,22440-33073,Λίνδος,851 07,www.lindianjewel.com,,2244-033033,ΒΛΗΧΑ,2244-33073
ΛΙΝΔΟΣ ΑΚΟΥΑ ΤΕΡΑ,"


3 Χλμ
",4,info@lindosaquaterra.gr,22440-31605,22440-31190,Λίνδος,851 07,www.lindosaquaterra.gr,22440-31608,2244-031192,ΒΛΥΧΑ ΛΙΝΔΟΥ ΡΟΔΟΥ,2244-031190
ΛΙΝΔΟΣ ΒΙΛΛΑΤΖ,"


4 Χλμ
",5,village@lindoshotels.com,2244032000,2244032007,Λίνδος,851 07,www.lindoshotels.com,,2244032000,ΒΛΥΧΑ ΛΙΝΔΟΥ ΡΟΔΟΥ,
ΛΙΝΔΟΣ ΙΜΠΕΡΙΑΛ,"


4 Χλμ
",5,accli@lindoshotels.com,22440-29200,22440-29209,Κιοτάρι,851 09,www.lindoshotels.com,,2244-029200,ΚΟΥΚΟΥΜΙΑ ΡΟΔΟΥ,2244-029209
ΛΙΝΔΟΣ ΜΠΑΙΥ,"


5 Χλμ
",5,info@lindosbayhotel.gr,22440-31501,22440-31500,Λίνδος,851 07,www.lindosbayhotel.gr,,6944-603143,ΡΟΔΟΣ(ΒΛΥΧΑ ΛΙΝΔΟΥ),2244-031500
ΛΙΝΔΟΣ ΡΟΥΑΓΙΑΛ,,5,oplr@lindoshotels.com,2244032000,22440320007,Λίνδος,85107,https://www.lindoshotels.com/hotels/lindos-royal-resort,,,,
ΛΙΝΔΟΣ ΣΑΝ -ΗΛΙΟΣ ΤΗΣ ΛΙΝΔΟΥ,"


2 Χλμ
",4,info@lindos-sun.com,22440-48270,22440-31104,Λίνδος,851 07,www.lindos-sun.com,,,ΨΑΡΤΟΣ,
ΛΙΝΔΟΥ ΘΕΑ,,4,info@lindosview.gr,22440-31477,22440-32036,Λίνδος,851 07,www.lindosview.gr,,,ΚΡΑΝΑ,
ΛΙΝΤΟ -ΣΤΑΡ,"


2 Χλμ
",2,lidostar1@hotmail.com,22410-87754,22410-85226,Φαληράκι,851 05,http://lidostar.com,22410-24015,,ΦΑΛΗΡΑΚΙ-ΡΟΔΟΣ,
ΛΙΟΓΕΡΜΑ,"


0.5 Χλμ
",2,liogermakalymnos@gmail.com,22430-47122,22430-51349,Κάλυμνος,852 00,,22430-47922,21-06928909,ΚΑΝΤΟΥΝΙ ΠΑΝΟΡΜΟΥ ΚΑΛΥΜΝΟΥ,2243-051349
ΛΙΟΓΕΡΜΑ,"


5 Χλμ
",2,liogerma.hotel@gmail.com,22870-22300,22870-21778,Μήλος,848 00,www.liogerma.gr,22870-22601,,ΑΔΑΜΑΝΤΑΣ,
ΛΙΟΣΤΑΣΙ ΙΟΣ,"


0.3 Χλμ
",5,adenaxas@liostasi.gr,22860-92140,22860-92680,Ίος,840 01,www.liostasi.gr,,2286-092140,ΘΕΣΗ ΓΕΡΜΑΝΩΛΗ,
ΛΙΠΠΙΑ ΓΚΟΛΦ ΡΕΖΟΡΤ,"


1.5 Χλμ
",4,reservation.lippia@dessolehotel.com,22410-52450,22410-52367,Αφάντου,851 03,www.dessolehotel.com,22410-52007,,ΑΦΑΝΤΟΥ ΓΚΟΛΦ-ΡΟΔΟΣ,
ΛΙΠΡΑΝΤΟ,"


0.05 Χλμ
",2,reservations@liprando.com,22840-51571,22840-53603,Νάουσα,844 01,www.liprando.com,22840-53603,2284-051307,ΝΑΟΥΣΑ ΠΑΡΟΥ,2284-053603
ΛΟΝΤΟΣ,"


1 Χλμ
",2,gperantinos@yahoo.com,22840-41218,22840-41135,Μάρπησσα,844 00,www.londoshotel.gr,,2109325811,ΠΙΣΩ ΛΕΙΒΑΔΙ,2109325811
ΛΟΝΤΟΣ,"


1 Χλμ
",2,lodoshotel@gmail.com,22860-22146,22860-25070,Καρτεράδος,847 00,www.hotellodos.com,,2286-022146,ΚΑΡΤΕΡΑΔΟΣ ΘΗΡΑΣ,2286-025070
ΛΟΣΤΑΣ,"


0.5 Χλμ
",2,,22440-44271,,Λάρδος,851 09,,,,ΛΑΡΔΟΣ ΡΟΔΟΥ,
ΛΟΥΗΣ,"


4 Χλμ
",2,info@luisapartments.gr,22420-59094,22420-51238,Μαστιχάρι,853 02,,22420-59095,6945-236775,ΜΑΣΤΙΧΑΡΙ - ΚΩΣ,2242-059094
ΛΟΥΗΣ Ι,"


4 Χλμ
",2,info@luispool.gr,22420-59094,22420-59094,Μαστιχάρι,853 02,www.luisaptsmastichari.com,22420-59103,6945-236775,,2242-059094
ΛΟΥΙΖΑ,"


0.15 Χλμ
",2,hotelgalinos@hotmail.com,22840-21480,22840-23446,Πάρος,844 00,www.hotelgalinos.com,22840-22122,,ΠΑΡΟΙΚΙΑ ΠΑΡΟΥ,
ΛΟΥΚΑΣ,"


0.4 Χλμ
",3,info@loucashotelsantorini.com,22860-22480,22860-24882,Θήρα,847 00,www.loucashotelsantorini.com,22860-22680,21-04957818,,21-04945065
ΛΟΥΤΑΝΗΣ,"


9 Χλμ
",3,lutanis@otenet.gr,22410-56312,22410-56339,Κολύμπια,851 03,hotelloutanis.gr,22410-56564,6955499923,ΚΟΛΥΜΠΙΑ ΡΟΔΟΥ,2241-056339
ΛΟΦΟΣ,"


2 Χλμ
",2,lofoshotel@yahoo.com,22860-91481,22860-91205,Ίος,840 01,www.lofosios.gr,,,,
ΛΟΦΟΣ ΒΙΛΑΤΖ,,3,lofosvillagehotel@yahoo.com,22860-92481,22860-92480,Ίος,840 01,www.lofosvillage.com,,,ΠΕΝΤΑΝΟΥΣΣΑ,
ΛΥΓΔΑΜΗΣ,,2,info@lygdamishotel.com,22850-23745,22850-22600,Νάξος,843 00,www.lygdamishotel.com,,,ΧΩΡΑ ΝΑΞΟΥ,
ΛΥΓΝΟΣ,"


0.2 Χλμ
",1,hotelsky@otenet.gr,22860-23101,22860-25120,Θήρα,847 00,www.santoriniapartments.com,22860-22045,2286-025121,ΜΕΛ.ΔΑΝΕΖΗ-ΑΓ.ΑΘΑΝ.ΓΩΝΙΑ,
ΛΥΔΙΑ,"


3 Χλμ
",2,lydia@otenet.gr,22410-22871,22410-22705,Ρόδος,851 00,www.lydiahotel.com,22410-22872,,25ΗΣ ΜΑΡΤΙΟΥ 31,
ΛΥΔΙΑ,"


0.3 Χλμ
",2,,22420-91151,,Καρδάμαινα,853 02,,22420-91153,,,
ΛΥΔΙΑ ΜΑΡΙΣ,"


4 Χλμ
",5,lydiam1@otenet.gr,22410-56421,22410-56424,Κολύμπια,851 03,www.lydiamaris.gr,22410-56294,,ΚΟΛΥΜΠΙΑ ΡΟΔΟΥ,
ΛΥΔΙΑΚΟ ΧΩΡΙΟ,"


4 Χλμ
",5,accounting@lindianvillage.gr,22440-35900,22440-47365,Λάρδος,851 09,www.lindianvillage.gr,,2244-035900,ΛΑΡΔΟΣ ΡΟΔΟΣ,2244-047360
ΛΥΜΠΕΡΙΑ,"


1 Χλμ
",3,info@lymberia.gr,22410-85676,22410-85826,Φαληράκι,851 05,www.lymberia.gr,85009,,ΦΑΛΗΡΑΚΙ ΡΟΔΟΥ,
ΛΥΜΠΕΡΙΑ ΙΙ,"


13 Χλμ
",2,info@lymberia.gr,22410-85676,22410-85826,Φαληράκι,851 05,www.lymberia.gr,22410-85009,,ΦΑΛΗΡΑΚΙ ΡΟΔΟΥ,
ΜΑΓΓΑΝΑΡΙ,"


18 Χλμ
",3,,22860-91200,,Ίος,840 01,,22860-91204,,ΜΑΓΓΑΝΑΡΙ ΙΟΥ ΚΥΚΛΑΔΩΝ,
ΜΑΓΓΑΝΑΣ,"


2 Χλμ
",2,info@maganashotel.gr,22430-61468,22430-59818,Αστυπάλαια,859 00,www.maganashotel.gr,,6930317724,ΛΙΒΑΔΙ,
