Όνομα,Απόσταση από νοσοκομείο,Αστέρια,E-Mail,Τηλέφωνο,Εναλλακτικό Τηλέφωνο,Αριθμός Φαξ,Πόλη,Διεύθυνση,Ταχυδρομικός Κώδικας,Ιστοσελίδα,Τηλέφωνο 2,Εναλλακτικό Φαξ
ΟΣΚΑΡ,"


5 Χλμ
",3,oscarhtl@otenet.gr,26950-51990,26950-51990,26950-51893,Μουζάκι,ΜΟΥΖΑΚΙ ΖΑΚΥΝΘΟΥ,290 92,www.oscarhotelzante.gr,26950-52191,26950-51990
ΟΣΚΑΡ,"


0.6 Χλμ
",2,oscarkon@otenet.gr,26450-92520,,26450-92098,Καλλιθέα-Μεγάλο Αυλάκι,ΜΕΓΑΛΟ ΑΥΛΑΚΙ ΛΕΥΚΑΔΑΣ,311 00,www.oscarlefkada.gr,,
ΟΤΕΛ & ΣΟΥΙΤΕΣ ΤΟΥ ΚΟΛΠΟΥ,"


16 Χλμ
",5,info@thebay.gr,26950-35436,2695035435,26950-35398,Βασιλικός,ΒΑΣΙΛΙΚΟ ΖΑΚΥΝΘΟΥ,291 00,www.thebay.gr,2695035435,2695035398
ΟΤΕΛ ΚΕΡΙ ΒΙΛΑΤΖ,"


3 Χλμ
",4,zanteplaza@gmail.com,26950-45963,6980045529,26950-43671,Αγαλάς,ΑΓΑΛΑΣ-ΚΕΡΙ ΖΑΚΥΝΘΟΥ,290 92,https://kerivillage.com,2695043671,
ΟΥΡΑΝΙΟ ΤΟΞΟ,"


4 Χλμ
",2,rainbowzante@gmail.com,26950-27389,,26959-27433,Λαγανάς,ΛΑΓΑΝΑΣ ΖΑΚΥΝΘΟΥ,290 92,www.rainbowzante.gr,6974-456332,
ΟΥΤΟΠΙΑ ΘΕΡΕΤΡΟ,"


4 Χλμ
",4,info@utopiaresort.gr,26710-81790,,26710-81788,Κατελειός,ΚΑΤΕΛΕΙΟΣ ΚΕΦΑΛΛΟΝΙΑΣ,280 86,www.utopiahotel.gr,,
ΟΥΤΟΠΙΑ ΚΑΒΟΣ,"


7 Χλμ
",2,utopiakavos@outlook.com,2662061651,2662061651,,Κάβος,ΚΑΒΟΣ ΛΕΥΚΙΜΜΗΣ ΚΕΡΚΥΡΑΣ,490 80,,2661047848,
ΠΑΛΑΙΟ ΑΡΤΝΟΥΒΟ,"


21 Χλμ
",4,mdirector@cnichotels.com,2661081151,,26630-22117,Παλαιοκαστρίτσα,ΠΑΛΑΙΟΚΑΣΤΡΙΤΣΑ,490 83,www.cnhotelgroup.com,26630-42121,
ΠΑΛΑΙΟ ΙΝΝ,"


0.3 Χλμ
",1,paleoinn@gmail.com,26630-41101,2661-028340,26630-41102,Παλαιοκαστρίτσα,ΠΑΛΑΙΟΚΑΣΤΡΙΤΣΑ ΚΕΡΚΥΡΑΣ,490 83,,,2663-041102
ΠΑΛΑΤΙ ΜΕΓΑΛΗ ΕΛΛΑΣ,"


8 Χλμ
",4,info@magnagraecia.gr,26610-93053,,26610-93396,Κάτω Κορακιάνα,,490 83,https://www.magnagraecia.gr,2661097181,
ΠΑΛΑΤΙ ΤΗΣ ΖΑΚΥΝΘΟΥ,"


15 Χλμ
",5,info@nikerishotelgroup.com,26950-35121,2695-035021,,Βασιλικός,ΒΑΣΙΛΙΚΟΣ ΖΑΚΥΝΘΟΥ,291 00,https://nikerishotelgroup.com/palazzo-di-zante-hotel/,,2695-035033
ΠΑΛΑΤΙ ΤΟΥ ΚΕΦΑΛΛΟΝΙΤΙΚΟΥ ΚΟΛΠΟΥ,,4,info@kefaloniabaypalace.gr,26740-23860,,,Αγία Ευφημία,ΑΓ.ΕΥΦΗΜΙΑ ΚΕΦ/ΝΙΑΣ,280 81,www.kefaloniabaypalace.gr,26740-23861,
ΠΑΛΑΤΙΝΟ,"


1 Χλμ
",3,palatino@otenet.gr,26710-92700,,26710-92780,Ληξούρι,ΛΗΞΟΥΡΙ ΚΕΦΑΛΛΗΝΙΑΣ,282 00,www.hotelpalatino.gr,26710-91033,
ΠΑΛΑΤΙΝΟ,"


1 Χλμ
",4,sales@palatinohotel.gr,26950-27780,,26950-45400,Ζάκυνθος,ΚΟΛΥΒΑ & ΚΟΛΟΚΟΤΡΩΝΗ 1Ο,291 00,www.palatinohotel.gr,,
ΠΑΛΛΑΣ,"


6 Χλμ
",3,pallasht@otenet.gr,26950-51805,2695-023573,26950-52680,Λαγανάς,ΛΑΓΑΝΑΣ ΖΑΚΥΝΘΟΥ,290 92,www.hotelpallas.gr,26950-53522,2695-052680
ΠΑΛΜΥΡΑ,"


4 Χλμ
",3,palmyrazante@gmail.com,2695045707,6977-617922,26950-26062,Αργάσι,ΑΡΓΑΣΙ ΖΑΚΥΝΘΟΥ,291 00,www.xenos.ws,,
ΠΑΛΜΥΡΑ,"


17 Χλμ
",2,info@palmyrahotel.gr,26450-92628,21-04821006,26450-29218,Νυδρί,ΝΥΔΡΙ ΛΕΥΚΑΔΑΣ,311 00,www.palmyrahotel.gr,26450-29216,21-04821046
ΠΑΛΟΜΑ ΜΠΛΑΝΚΑ,"


6 Χλμ
",3,cprosalenti@gmail.com,26610-93575,6945355970,26610-93576,Κάτω Κορακιάνα,ΚΑΤΩ ΚΟΡΑΚΙΑΝΑ ΚΕΡΚΥΡΑΣ,490 83,www.palomablanca.gr,26610-93576,
ΠΑΝΑΣ,"


2.5 Χλμ
",3,info@panas-kefalonia.com,26710-69506,2671-069506,26710-69505,Σπαρτιά,ΣΠΑΡΤΙΑ ΚΕΦΑΛΛΗΝΙΑΣ,280 83,www.panas-kefalonia.com,26710-69941,2671-069505
ΠΑΝΔΟΧΕΙΟ ΧΩΡΙΟΥ ΡΟΔΑ,"


0.5 Χλμ
",2,rodainn@sympatico.ca,26630-63358,21-06420383,26630-63358,Ρόδα,ΡΟΔΑ ΚΕΡΚΥΡΑΣ,490 81,www.rodainn.com,,2661-036629
ΠΑΝΕΛΓΙΑ ΓΚΟΛΝΤΕΝ ΚΟΣΤ ΡΙΖΟΡΤ 1,,4,reservations@panelyiagroup.com,2695024120,,,Δροσιά,,29100,www.goldencoastresort.gr,2695065330,
ΠΑΝΕΛΓΙΑ ΓΚΟΛΝΤΕΝ ΚΟΣΤ ΡΙΖΟΡΤ 2,,4,reservations@panelyiagroup.com,2695024120,,,Δροσιά,,29100,http://www.goldencoastresort.gr/,2695065330,
ΠΑΝΕΛΓΙΑ ΓΚΟΛΝΤΕΝ ΚΟΣΤ ΡΙΖΟΡΤ 3,,4,reservations@panelyiagroup.com,2695024120,,,Δροσιά,,29100,www.goldencoastresort.gr,,
ΠΑΝΕΛΓΙΑ ΓΚΟΛΝΤΕΝ ΚΟΣΤ ΡΙΖΟΡΤ 4,,4,reservations@panelyiagroup.com,2695024120,,,Δροσιά,,29100,www.goldencoastresort.gr,,
ΠΑΝΘΕΟΝ,"


0.8 Χλμ
",3,info@zantepantheonhotel.gr,26950-22782,26950-63680,26950-25603,Πλάνος,ΤΣΙΛΙΒΙ ΖΑΚΥΝΘΟΥ,291 00,www.zantepantheonhotel.gr,,26950-25603
ΠΑΝΘΕΟΝ ΧΩΛ,,2,reservations@pantheonhall.com,26610-55268,,,Μεσογγή,ΜΕΣΟΓΓΗ ΚΕΡΚΥΡΑΣ,490 80,www.pantheonhall.com,,
ΠΑΝΟΡΑΜΑ,"


2 Χλμ
",2,panorama98@gmail.com,26950-51144,2695-052330,26950-53006,Λαγανάς,ΛΑΓΑΝΑΣ ΖΑΚΥΝΘΟΥ,290 92,,,
ΠΑΝΟΡΑΜΑ,"


10 Χλμ
",2,naturistpanoramahotel@gmail.com,26950-35055,,26950-35055,Βασιλικός,,291 00,www.naturistpanoramahotel.com,,
ΠΑΝΟΡΑΜΑ ΣΙΔΑΡΙ,,3,booking.panorama@bolentaco.gr,26630-99393,,26630-95156,Σιδάρι,ΣΙΔΑΡΙ ΕΣΠ. ΚΕΡΚΥΡΑΣ,490 81,,,
ΠΑΝΟΡΜΟΣ,,2,,26740-41203,,,Φισκάρδο,ΦΙΣΚΑΡΔΟ ΚΕΦΑΛΛΟΝΙΑΣ,280 84,,,
ΠΑΝΟΣ,"


0.3 Χλμ
",2,catamarancorfu@gmail.com,26630-64202,,,Αχαράβη,,491 00,,26630-64202,
ΠΑΝΤΑΤΙΚΑ,,2,,26620-61253,,,Κάβος,,490 80,,,
ΠΑΝΤΟΚΡΑΤΩΡ,"


2 Χλμ
",3,info@pantokratorhotel.com,26630-91005/7,2663-091382,26630-91004,Μπαρμπάτι,ΜΠΑΡΜΠΑΤΙ ΚΕΡΚΥΡΑΣ,491 00,www.pantokratorhotel.com,,2663-091004
ΠΑΠΙΛΛΟΝ,"


4 Χλμ
",2,papillonzante@gmail.com,2695026401,2695026401,2695026403,Αργάσι,ΑΡΓΑΣΙ ΖΑΚΥΝΘΟΥ,29100,www.papillon.gr,2695026402,2695026403
ΠΑΠΙΛΛΟΝ Ι,"


5 Χλμ
",2,papillonzante@gmail.com,2695026401,2695026401,2695026403,Αργάσι,ΑΡΓΑΣΙ ΖΑΚΥΝΘΟΥ,291 00,www.papillon.gr,,2695026403
ΠΑΡΑΔΕΙΣΕΝΙΟ,"


6 Χλμ
",2,garnavaki@hotmail.com,26630-99400,26610-32334,26630-99400,Σιδάρι,,490 81,,,
ΠΑΡΑΔΕΙΣΟΣ,"


3 Χλμ
",3,hpc@otenet.gr,26610-91438,6944442626,26610-91003,Γουβιά,ΓΟΥΒΙΑ ΚΕΡΚΥΡΑΣ,491 00,www.paradisehotelcorfu.gr,26610-91001,26610-91003
ΠΑΡΑΔΕΙΣΟΣ,"


5 Χλμ
",2,info@paradisehotel.gr,26950-45096,21-09314623,26950-24153,Πλάνος,,291 00,www.paradisehotel.gr,26950-49044,21-09314623
ΠΑΡΑΔΕΙΣΟΣ Ι.Ν.Ν.,"


2 Χλμ
",3,reservations@across.gr,26630-41119,2310476131,2310476132,Λιαπάδες,,490 83,https://acrosshotels.gr/paradiseinn/,2310476131,2310476132
ΠΑΡΑΛΙΑ ΚΑΡΑΒΑΔΟΣ,"


2.5 Χλμ
",3,info@kbhotel.gr,26710-69400,2671-069431,26710-69689,Καραβάδος,ΚΑΡΑΒΑΔΟΣ ΚΕΦΑΛΛΗΝΙΑΣ,280 83,www.kbhotel.gr,69431,2671-069689
ΠΑΡΑΛΙΑ ΜΠΕΛΛΟΣ,"


2 Χλμ
",4,info@corfumaris.gr,26610-72266,6977-350390,26610-72100,Μπενίτσες,ΤΣΑΚΙ ΜΠΕΝΙΤΣΩΝ ΚΕΡΚΥΡΑΣ,490 84,,26610-72000,
ΠΑΡΑΛΙΑ ΣΙΔΑΡΙ,"


5 Χλμ
",3,info@hotelsidari.com,26630-31195,6942-541141,26630-31196,Άγιος Ιωάννης,ΑΓ.ΙΩΑΝΝΗΣ ΚΑΡΟΥΣΑΔΩΝ ΚΕΡΚΥΡΑΣ,490 81,www.hotelsidari.com,,
ΠΑΡΑΜΟΝΑΣ,"


2 Χλμ
",3,paramonas@otenet.gr,26610-76595,2661-076595,26610-75686,Παραμόνας,ΠΑΡΑΜΟΝΑΣ ΚΕΡΚΥΡΑΣ,490 84,www.paramonas-hotel.com,26610-76596,2661-075686
ΠΑΡΑΣΚΕΥΗ,"


6 Χλμ
",2,hotelvivian1@hotmail.com,26950-53502,6948-240433,26950-53502,Λαγανάς,ΜΑΧΕΙΡΑΔΟ,290 92,,,
ΠΑΡΚ,"


0.4 Χλμ
",4,infozante@hotel-park.gr,26950-23790,21-05321506,26950-26121,Πλάνος,ΠΛΑΝΟΣ ΖΑΚΥΝΘΟΥ,291 00,www.hotel-park.gr,,
ΠΑΣΠΑΛΗΣ,"


0.3 Χλμ
",3,info@paspalishotel.com,26710-83140,2671-083140,26710-83611,Σκάλα,ΣΚΑΛΑ ΚΕΦΑΛΛΗΝΙΑΣ,280 82,www.paspalishotel.com,,
ΠΑΤΡΑΙ,"


0.2 Χλμ
",3,katopodig@yahoo.gr,26450-22359,21-07620401,,Λευκάδα,ΜΕΓΑΝΗΣΙΟΥ 1,311 00,,6946376307,
ΠΑΤΡΙΚΗ ΣΤΟΥΝΤΙΟ,"


33 Χλμ
",2,btsolakidis@msn.com,2663099327,,2663099099,Σιδάρι,ΜΕΓΑΛΗ ΠΑΡΑΛΙΑ,490 81,,,
ΠΕΛΑΓΟΣ ΧΟΤΕΛ ΖΑΝΤΕ,,4,info@pelagoszante.gr,2695062852,,2695401396,Τραγάκι,,29100,http://www.pelagoszante.gr/,,
ΠΕΛΟΥΖΟ,,2,,26950-25040,,,Καλαμάκι,,291 00,www.pelouzohotel.gr,,
ΠΕΡΑΜΑ,"


2 Χλμ
",2,hotelperama@gmail.com,26610-33167,2661-033167,26610-40880,Πέραμα,ΕΘΝΙΚΗ ΚΕΡΚΥΡΑΣ ΛΕΥΚΙΜΗΣ,490 84,www.hotelperama.com,26610-40880,2661-040880
ΠΕΡΑΝΤΖΑΔΑ 1811 ΑΡΤ ΟΤΕΛ,"


0.5 Χλμ
",4,info@perantzadahotel.com,2674033496,261-0624900,,Ιθάκη,ΒΑΘΥ ΙΘΑΚΗΣ,283 00,www.perantzadahotel.com,,
ΠΕΡΙΚΛΗΣ,"


0.3 Χλμ
",3,info@hotelpericles.gr,26740-22780/5,6977-084433,26740-22787,Σάμη,ΣΑΜΗ ΚΕΦΑΛΛΗΝΙΑΣ,280 80,www.hotelpericles.gr,,2674-022787
ΠΕΡΚΕ,,3,aria.zografou@yahoo.com,26950-51758,,,Λαγανάς,ΛΑΓΑΝΑΣ ΖΑΚΥΝΘΟΥ,290 92,,,
ΠΕΡΡΟΣ,"


5 Χλμ
",2,info@perroshotel.gr,6938865138,2663-095824,26630-51512,Άγιος Στέφανος,,490 81,www.perroshotel.com,,26630-51512
ΠΕΡΣΕΦΟΝΗ,,1,,26610-91862,,,Κοντοκάλι,,491 00,,,
ΠΕΤΑΝΟΙ ΚΟΛΠΟΣ,"


8 Χλμ
",4,voulanic69@yahoo.com,6987805769,210-2836351,211-7702268,Ληξούρι,ΠΑΡΑΛΙΑ ΠΕΤΑΝΩΝ-ΠΑΛΙΚΗ,282 00,www.petanibayhotel.gr,26710-97702,2117702286
ΠΕΤΡΟΣ,,3,info@hotelpetros.gr,6984209348,6972-807298,26950-29997,Πλάνος,,291 00,www.hotelpetros.gr,6984209348,
ΠΗΓΑΣΟΣ,"


7 Χλμ
",3,hotelpegasos3@gmail.com,2645072138,2645-025352,26450-25290,Νικιάνα,,311 00,www.hotelpegasos.gr,2645025352,2645-025290
ΠΗΓΑΣΟΣ,"


32 Χλμ
",3,reservations@pegasus-hotel.com,26630-63400,2663063400,26630-63802,Ρόδα,ΡΟΔΑ ΚΕΡΚΥΡΑΣ,490 81,www.pegasus-hotel.com,26630-63801,2663-063802
ΠΗΓΑΣΟΣ,,2,info@dianahotels.gr,26950-23070,2695-028547,26950-27949,Αργάσι,,291 00,www.dianahotels.gr,,2695-045047
ΠΗΝΕΛΟΠΗ,"


22 Χλμ
",3,kostas@boukaribeach.gr,26620-51269,,26620-51792,Μπούκαρης,ΜΠΟΥΚΑΡΙ ΚΕΡΚΥΡΑΣ,490 80,www.boukaribeach.gr,26620-51791,2662-051792
ΠΗΝΕΛΟΠΗ,"


2 Χλμ
",2,hotelpenelope@gmail.com,26610-93638,2661-093638,26610-97001,Κάτω Κορακιάνα,ΚΡΕΒΑΤΣΟΥΛΑ,490 83,www.hotel-penelope.com,,2661-097001
ΠΙΕΡΡΟΣ,,2,anastasiaxioni@hotmail.com,26950-45198,,,Λαγανάς,,290 92,,26950-52218,
ΠΛΑΓΙΑ ΜΠΕΪ,"


8 Χλμ
",3,nikospilarinos@gmail.com,26950-51988,6932-105426,26950-23115,Λαγανάς,ΛΑΓΑΝΑΣ ΖΑΚΥΝΘΟΥ,290 92,,,
ΠΛΑΖΑ,"


1 Χλμ
",2,info@plazazante.gr,26950-45733,2695-045054,26950-48909,Ζάκυνθος,ΚΟΛΟΚΟΤΡΩΝΗ 2,291 00,www.plazazante.gr,26950-45059,2695-045278
ΠΛΑΖΑ ΙΝΝ,"


2 Χλμ
",2,info@plazapallas.gr,26950-24506,2695-024506,26950-24507,Πλάνος,,291 00,www.plazapallas.gr,,2695-024507
ΠΛΑΝΟΣ ΔΙΑΜΕΡΙΣΜΑΤΑ,"


0.5 Χλμ
",2,info@planosaparthotel.gr,2695024001,2695-042779,2695041100,Πλάνος,,291 00,www.planosaparthotel.gr,2695041100,2695-045505
ΠΛΑΝΟΣ ΜΠΕΥ ΔΙΑΜΕΡΙΣΜΑΤΑ,"


0.5 Χλμ
",3,info@planosbayhotel.gr,2695024351,2695-042779,26950-24004,Πλάνος,,291 00,www.planosaparthotel.gr,2695024353,2695-045505
ΠΛΑΝΟΣ ΜΠΗΤΣ,,3,info@planosbeach.gr,26950-24120,,26950-24122,Πλάνος,ΠΛΑΝΟΣ ΖΑΚΥΝΘΟΥ,291 00,www.planosbeach.gr,,
ΠΛΕΣΣΑΣ,"


12 Χλμ
",2,plessaspalace@hotmail.com,26950-29498,,26950-29499,Άνω Γερακάρι,,290 90,www.plessaspalace.com,,
ΠΟΘΟΣ,"


3 Χλμ
",2,dimitriszantepothos@hotmail.com,26950-83792,26950-83792,26950-83792,Καταστάρι,,291 00,,26950-83924,26950-83792
ΠΟΛΙΤΕΙΑ,"


13 Χλμ
",3,politiahotel@gmail.com,26450-97498,6945-334366,26450-97009,Εξάνθεια,ΕΟ ΑΓ.ΝΙΚΗΤΑ-ΚΑΘΙΣΜΑΤΟΣ,310 80,www.politiahotel.gr,26450-97009,
ΠΟΛΥΞΕΝΗ,,3,polyxenihotelcorfu@yahoo.gr,26630-95846,,,Περουλάδες,ΜΕΛΙΤΣΑ,490 81,,2669095083,
ΠΟΝΤΙ ΜΠΗΤΣ,"


1 Χλμ
",2,pontibeachhotel@gmail.com,26450-31572,2645-031572,26450-31576,Βασιλική,ΠΟΝΤΙ ΒΑΣΙΛΙΚΗΣ ΛΕΥΚΑΔΟΣ,310 82,www.pontibeachhotel.com,26450-31574,2645-031576
ΠΟΝΤΙΚΟΝΗΣΙ,"


4 Χλμ
",2,info@pontikonisihotel.com,26610-36871,69822886653,2661033107,Πέραμα,ΠΕΡΑΜΑ ΑΧΙΛΛΕΙΩΝ ΚΕΡΚΥΡΑΣ,490 84,www.pontikonisihotel.com,26610-36872,2661033107
ΠΟΠΗ,"


1 Χλμ
",2,popistar@otenet.gr,26610-91500,2661-036855,26610-91502,Γουβιά,ΓΟΥΒΙΑ ΚΕΡΚΥΡΑΣ,491 00,www.popistar-corfu.com,26610-91501,2661-033160
ΠΟΡΤΕΓΚΟ,,2,info@portego.gr,26950-52258,,26950-52698,Μουζάκι,ΜΟΥΖΑΚΙ ΖΑΚΥΝΘΟΥ,291 00,www.portego.gr,6977311900,
ΠΟΡΤΟ ΓΑΛΗΝΗ,"


4 Χλμ
",4,welcome@portogalini.gr,26450-93290,6936-167772,26450-92178,Νικιάνα,ΘΕΣΗ ΜΑΓΓΑΝΑ,311 00,www.portogalini.gr,,
ΠΟΡΤΟ ΖΑΝΤΕ ΚΛΑΜΠ,,5,info@portozante.com,2695065100,,2108228834,Τραγάκι,,29100,www.portozante.com,2103634665,
ΠΟΡΤΟ ΖΟΡΟ,"


7 Χλμ
",2,info@portozorro.gr,26950-35304,,26950-35087,Βασιλικός,,291 00,www.portozorro.gr,26950-36054,
ΠΟΡΤΟ ΚΟΥΚΛΑ ΜΠΗΤΣ,"


4 Χλμ
",3,contactkoukla@gmail.com,26950-52393,2695-051521,26950-52391,Λιθακιά,ΛΙΘΑΚΙΑ ΖΑΚΥΝΘΟΥ (ΠΟΡΤΟ ΚΟΥΚΛΑ),290 92,www.portokoukla.com,26950-51577,2695-052391
ΠΟΡΤΟ ΛΥΓΙΑ,"


6 Χλμ
",3,grapsasm@gmail.com,6944623239,6944623239,26450-71900,Λυγιά,ΛΥΓΙΑ ΛΕΥΚΑΔΑΣ,311 00,www.portoligia.gr,072000,
ΠΟΡΤΟ ΜΑΡΙΝΑ,,3,info@gouviahotel.com,2661091833,,,Γουβιά,,49100,,,
ΠΟΡΤΟ ΝΤΑΒΙΑ,"


4 Χλμ
",2,theokladis@hotmail.com,26950-26143,,,Αργάσι,ΑΡΓΑΣΙ ΖΑΚΥΝΘΟΥ,291 00,www.zanteisland.com/portodavia.htm,,
ΠΟΡΤΟ ΠΛΑΝΟΣ ΜΠΙΤΣ,,4,info@planosbeach.gr,2695023713,,2695024122,Πλάνος,,29100,,,
ΠΟΡΤΟ ΡΩΜΑ,,1,portoromagr@gmail.com,26950-22781,2695035342,,Βασιλικός,ΒΑΣΙΛΙΚΟΣ ΖΑΚΥΝΘΟΥ,291 00,www.portoroma.gr,,
ΠΟΡΤΟ ΣΚΑΛΑ,"


45 Χλμ
",4,info@portoskala.com,2671083501,2106128517,2671083500,Σκάλα,ΑΓ.ΓΕΩΡΓ.ΣΚΑΛΑΣ ΚΕΦΑΛΛΗΝ.,280 86,www.portoskala.com,,2106120164
ΠΟΡΤΟ ΥΛΙΕΣΣΑ,"


3.5 Χλμ
",4,iliessah@otenet.gr,2695027800,2695-022810,26950-45346,Αργάσι,ΑΡΓΑΣΙ ΖΑΚΥΝΘΟΥ,291 00,www.iliessa.gr,2695028270,
ΠΟΡΤΟ ΦΙΚΟ,"


0.5 Χλμ
",2,info@portofico.gr,26450-31402,,26450-31467,Βασιλική,ΑΚΤΗ ΠΟΝΤΙ,310 82,www.portoficohotel.com,,
ΠΟΣΕΙΔΩΝ,,2,kourisbabis@yahoo.gr,26630-81439,,26630-81439,Κασσιόπη,ΚΑΣΣΙΩΠΗ ΚΕΡΚΥΡΑΣ,491 00,,,
ΠΟΣΕΙΔΩΝ,"


0.5 Χλμ
",2,info@poseidonkefalonia.gr,26710-92518,261-0225725,26710-91374,Ληξούρι,ΓΡΗΓΟΡΙΟΥ ΛΑΜΠΡΑΚΗ 41,282 00,www.poseidonkefalonia.gr,26710-92519,261-0223816
ΠΟΣΕΙΔΩΝ,"


2 Χλμ
",3,info@poseidon-zakynthos.gr,26950-51827,6944-678304,26950-51199,Λαγανάς,ΛΑΓΑΝΑΣ ΖΑΚΥΝΘΟΥ,290 92,www.poseidon-zakynthos.gr,,2695-051199
ΠΟΣΕΙΔΩΝ,"


0.1 Χλμ
",2,poseidonskala@yahoo.gr,6946596977,6946596977,,Σκάλα,ΣΚΑΛΑ ΚΕΦΑΛΛΗΝΙΑΣ,280 82,http://poseidonapts.gr/,26710-83432,2671092062
ΠΟΣΕΙΔΩΝΙΟ Α’,"


1 Χλμ
",2,poseidoniolefkas@gmail.com,6945704298,2103456323,26450-92784,Περιγιάλι,ΠΕΡΙΓΙΑΛΙ ΛΕΥΚΑΔΑΣ,311 00,www.hotelposidonio.gr,26450-92664,
ΠΟΣΕΙΔΩΝΙΟ Β’,"


1 Χλμ
",2,info@evabeach.gr,26450-92665,2645-092196,26450-92803,Περιγιάλι,ΠΕΡΙΓΙΑΛΙ ΛΕΥΚΑΔΑΣ,311 00,,26450-92666,2645-092803
ΠΟΤΑΜΑΚΙ,"


0.1 Χλμ
",3,info@potamakibeachhotel.com,26610-71140,2661-072139,26610-72451,Μπενίτσες,ΜΠΕΝΙΤΣΕΣ ΚΕΡΚΥΡΑΣ,490 84,www.potamakibeachhotel.com,,2661-072451
ΠΟΤΑΜΙΤΗΣ,,3,potamitisalykes@gmail.com,2695083674,,,Καταστάρι,,29090,,,
ΠΡΑΣΙΝΟ ΝΗΣΙ,"


18 Χλμ
",2,info@prassinonissi.gr,26610-75379,2661-075379,26610-75579,Μοραΐτικα,ΜΩΡΑΙΤΙΚΑ ΚΕΡΚΥΡΑΣ,490 84,www.prassinonissi.gr,,2661-075579
ΠΡΑΣΙΝΟΣ ΚΟΛΠΟΣ,"


2 Χλμ
",3,info@hotelgreenbay.com,26740-22229,2671-025104,26740-22209,Καραβόμυλος,,280 80,www.hotelgreenbay.com,,2671-028826
ΠΡΙΓΚΗΠΙΣΣΑ,"


2 Χλμ
",3,info@princesshotel.gr,26710-25591,21-06017442,26710-25593,Αργοστόλι,ΛΑΣΣΗ ΚΕΦΑΛΛΗΝΙΑΣ,281 00,www.princesshotel.gr,26710-25501,21-06017442
ΠΡΙΓΚΗΠΙΣΣΑ ΙΟΝΙΟΥ,"


35 Χλμ
",3,office@ionianprincess.gr,26630-63777,210-8812367,26630-63111,Αχαράβη,ΑΧΑΡΑΒΗ ΚΕΡΚΥΡΑΣ,491 00,www.ionianprincess.gr,26630-63110,210-2830853
ΠΡΙΓΚΙΠΙΣΣΑ,"


0.3 Χλμ
",2,info@princess-hotel.gr,6947900300,2695-023515,2695045644,Πλάνος,,291 00,www.princess-hotel.gr,2695023815,2695-045642
ΠΡΙΜΑΒΕΡΑ,"


0.1 Χλμ
",2,info.primaverahotel@gmail.com,26610-97019,,26610-97018,Κάτω Κορακιάνα,ΔΑΣΙΑ-ΣΚΡΙΠΕΡΟ,490 83,www.primaverahotel.gr,,
ΠΥΛΑΡΟΣ,"


9 Χλμ
",1,vasilissa5@yahoo.gr,2674061344,,,Αγία Ευφημία,ΑΓ.ΕΥΦΗΜΙΑ ΚΕΦΑΛΛΟΝΙΑΣ,280 81,,,
ΠΥΡΓΙΣΚΟΙ & ΠΟΛΕΜΙΣΤΡΕΣ,"


8 Χλμ
",4,info@torriemerli.com,6932-201116,6932-201116,26620-31033,Πετράτικα,ΠΕΤΡΑΤΙΚΑ-ΛΑΚΚΑ ΠΑΞΩΝ,490 82,www.torriemerli.com,,
ΠΥΡΓΟΛΑΜΠΙΔΑ,"


0.15 Χλμ
",1,nikalex_76@yahoo.gr,6937952345,,,Μοραΐτικα,ΜΩΡΑΙΤΙΚΑ ΚΕΡΚΥΡΑΣ,490 84,,,
ΠΥΡΡΟΣ,"


6 Χλμ
",2,info@pyrroscorfu.com,26610-91206,2661-091206,26610-91206,Κοντοκάλι,ΚΟΝΤΟΚΑΛΙ ΚΕΡΚΥΡΑΣ,491 00,www.pyrroscorfu.com,26610-91513,
ΡΕΒΕΚΚΑ ΒΙΛΑΤΖ,"


10 Χλμ
",4,info@rebeccasvillage.com,26630-31984/6,21-08044393,26630-31987,Καρουσάδες,ΚΑΡΟΥΣΑΔΕΣ ΚΕΡΚΥΡΑΣ,490 81,www.rebeccasvillage.com,,2661-033889
ΡΕΓΓΙΝΑ,"


7 Χλμ
",3,villaninacorfu@gmail.com,26620-52132,2662-051066,26620-52135,Βασιλάτικα,ΒΑΣΙΛΑΤΙΚΑ ΚΕΡΚΥΡΑΣ,490 80,www.regina-hotel.de,26620-52134,
ΡΕΣΤΙΑ,,5,info@restiasuites.gr,26630-64077,,,Αχαράβη,ΑΛΜΥΡΟΣ ΚΕΡΚΥΡΑΣ,490 81,www.restiasuites.gr,,
ΡΙΒΙΕΡΑ,"


0.5 Χλμ
",1,vaso@corfuriviera.gr,26610-72004,2661-072004,26610-72396,Μπενίτσες,ΜΠΕΝΙΤΣΕΣ ΚΕΡΚΥΡΑΣ,490 84,www.corfuriviera.gr,,2661-072396
ΡΙΒΙΕΡΑ,"


0.5 Χλμ
",1,fragataporos@yahoo.gr,26740-72327,,26740-72579,Πόρος,ΧΙΟΝΑΤΑ,280 82,,,
ΡΙΛΑΞ,,2,,26950-51943,,,Αμπελόκηποι,,290 92,,,
ΡΟΒΟΛΑ,"


2 Χλμ
",3,manager@robolla.com,26630-64761,2661-040660,26630-64762,Καρουσάδες,,490 81,www.robolla.com,2663064763,2663064762
