Όνομα,Απόσταση από νοσοκομείο,Αστέρια,Ιστοσελίδα,E-Mail,Τηλέφωνο,Αριθμός Φαξ,Πόλη,Ταχυδρομικός Κώδικας,Διεύθυνση,Τηλέφωνο 2,Εναλλακτικό Τηλέφωνο,Εναλλακτικό Φαξ
ΛΙΜΑΝΙ ΤΟΥ ΚΟΛΟΜΒΟΥ,"


1 Χλμ
",4,www.greekhotel.com/crete/chania/porto-del-colombo/,colompo@otenet.gr,28210-70945,28210-98467,Χανιά,731 31,ΜΟΣΧΩΝ  &  ΘΕΟΦΑΝΟΥΣ 6,098466,2821-070945,2821-098467
ΛΙΜΑΝΙ ΤΟΥ ΠΛΑΚΙΑ,"


0.2 Χλμ
",3,www.portoplakias.gr,brspant@otenet.gr,28320-31123,28320-31423,Πλακιάς,740 60,ΠΛΑΚΙΑΣ ΡΕΘΥΜΝΟΥ,28320-31101,6974-929542,
ΛΙΜΑΣ,"


8 Χλμ
",1,www.limas-hotel.gr,kaffatosnick@yahoo.gr,28310-72257,28310-71810,Πηγιανός Κάμπος,741 00,ΠΗΓΙΑΝΟΣ ΚΑΜΠΟΣ ΡΕΘΥΜΝΟΥ,,,
ΛΙΜΠΕΡΤΥ,"


0.3 Χλμ
",3,www.liberty-hotel.gr,liberty.krit@gmail.com,28310-55851,28310-55850,Ρέθυμνο,741 00,ΜΟΑΤΣΟΥ & ΠΡΕΒΕΛΑΚΗ,28310-55853,,
ΛΙΝΑΡΙΔΗΣ,,1,,nikosanyfantakis@gmail.com,28970-31246,,Σταλίδα,700 14,,,,
ΛΙΣΣΟΣ,"


0.02 Χλμ
",1,www.lissos-hotel.gr,info@lissos-hotel.gr,28230-41266,28230-41266,Παλαιοχώρα,731 01,ΠΑΛΑΙΟΧΩΡΑ ΧΑΝΙΩΝ,28230-41122,,
ΛΙΣΣΟΣ,,2,,info@lissos.gr,2821060020,,Πλατανιάς,730 14,,,,
ΛΙΤΛ ΙΝ,"


1.5 Χλμ
",2,http://www.littleinn.eu,info@littleinn.eu,28920-52455,28920-52021,Κόκκινος Πύργος,702 00,ΚΟΚΚΙΝΟΣ ΠΥΡΓΟΣ ΗΡΑΚΛΕΙΟΥ,,,
ΛΟΤΖΕΤΤΑ,"


0.5 Χλμ
",2,,izour@tee.gr,28310-27846,,Ρέθυμνο,741 00,ΚΑΠΟΔΙΣΤΡΙΟΥ 45,,,
ΛΟΤΟΥΣ,"


4 Χλμ
",2,,fandridakis@stefanvillage.com,28210-31660,28210-68131,Δαράτσος,731 00,ΚΑΤΩ ΔΑΡΑΤΣΟΣ ΧΑΝΙΩΝ,,,
ΛΟΥΗΣ ΠΡΙΓΚΗΠΙΣΣΑ ΚΡΗΤΗΣ,"


2 Χλμ
",4,www.louishotels.com,cretaprincess@louishotels.com,2821062702,28210-62406,Μάλεμε,731 00,Τ.Θ.9,2821062227,2821062221,2821062406
ΛΟΥΚΙΑ,"


5 Χλμ
",2,www.loukiahotel.gr,hotelluc@otenet.gr,28210-90302,28210-91843,Χανιά,731 00,ΑΚΤΗ ΚΟΥΝΤΟΥΡΙΩΤΟΥ,28210-90303,,
ΛΟΥΛΟΥΔΙ,"


13 Χλμ
",2,www.villafleria.gr,info@villafleria.gr,28210-62604,28210-62634,Πλατανιάς,731 00,ΠΥΡΓΟΣ ΨΗΛΟΝΕΡΟΥ,,21-06741052,21-06741052
ΛΟΦΟΣ,"


0.3 Χλμ
",2,,hotellofosplakias@yahoo.gr,28320-31422,28320-31967,Πλακιάς,740 60,ΠΛΑΚΙΑΣ ΡΕΘΥΜΝΗΣ,28320-31967,,
ΛΟΦΟΣ,"


0.6 Χλμ
",2,www.lofosapartments.com,lofos3@otenet.gr,28970-22751,28970-22752,Πισκοπιανό,700 14,ΕΛΕΥΘΕΡΙΑΣ 11,6977746268,2897-022750,
ΛΥΓΑΡΙΑ ΑΚΤΗ,"


2 Χλμ
",4,www.lygariabeach.gr,info@lygariabeach.gr,2817002780,,Λυγαριά,715 00,,,281-0811620,281-0811833
ΛΥΚΑΣΤΗ,"


0.05 Χλμ
",2,www.lycasti-hotel.gr,info@lycasti-hotel.gr,28240-22822,28240-22160,Ταυρωνίτης,730 06,ΤΑΥΡΩΝΙΤΗΣ ΧΑΝΙΩΝ,,2821-053754,2824-022160
ΛΥΚΤΟΣ,"


2 Χλμ
",2,,ioannis2k@hotmail.com,2810-255883,,Γάζι,714 14,ΑΝΔΡΕΑ ΠΑΠΑΝΔΡΕΟΥ 28,2810-242407,281-0242407,
ΛΥΤΤΟΣ,"


5 Χλμ
",5,www.lyttosbeach.gr,info@lyttosbeach.gr,2897502514,2897029220,Χερσόνησος,700 14,ΑΝΙΣΣΑΡΑΣ,2897502500,,
ΜΑ-ΤΖΙ,"


1.5 Χλμ
",2,,matziapartments@yahoo.com,2821061120,2821061152,Γεράνι,730 14,,,,
ΜΑΓΔΑ,"


0.3 Χλμ
",4,www.magdahotel.gr,info@magdahotel.gr,28970-42308,28970-42294,Γούβες,700 14,ΓΟΥΒΕΣ ΗΡΑΚΛΕΙΟΥ,,,
ΜΑΓΙΑ ΜΠΗΤΣ,"


16 Χλμ
",4,,info@saradariapartments.com,28970-42592,28970-42594,Γούβες,700 14,ΓΟΥΒΕΣ ΗΡΑΚΛΕΙΟΥ ΚΡΗΤΗΣ,,,
ΜΑΙΟΣ,"


4 Χλμ
",4,www.may-hotel.gr,info@may-hotel.gr,28310-55745,28310-55748,Ρέθυμνο,741 00,Μ.ΚΡΗΤΗΣ 122,28310-55746,2831-053341,2831-055748
ΜΑΙΡΗ,"


10 Χλμ
",2,www.hotelmary.eu,info@hotelmary.eu,28210-60770,28210-83751,Πλατανιάς,730 14,ΠΛΑΤΑΝΙΑΣ ΚΥΔΩΝΙΑΣ ΧΑΝΙΩΝ,68007,,
ΜΑΙΡΗ,"


4 Χλμ
",2,www.maryhotel.gr,info@maryhotel.gr,2831054330,,Ρέθυμνο,711 00,ΛΑΣΗΘΙΟΥ 8,2831024905,6932-545042,
ΜΑΙΡΥΛΙΝ,,2,www.marilynhotel.gr,marilynhotel@yahoo.com,28310-28462,28310-55619,Ρέθυμνο,741 00,ΠΑΡΑΛΙΑΚΗ ΛΕΩΦΟΡΟΣ,,,
ΜΑΙΣΤΡΑΛΙ,,3,,mistraliapartments@otenet.gr,28250-31858,28250-31902,Καλύβες,730 03,ΚΑΛΥΒΕΣ ΑΠΟΚΟΡΩΝΟΥ-ΧΑΝΙΑ,,,
ΜΑΛΙΑ ΔΑΙΔΑΛΟΣ,"


0.3 Χλμ
",3,www.maliadedalos.gr,info@maliadedalos.gr,28970-32780,28970-32782,Μάλια,700 07,ΜΑΛΙΑ ΠΕΔ.ΗΡΑΚΛΕΙΟΥ,28970-32781,28970-32780,28970-32782
ΜΑΛΙΕΒΙ,,2,,manager@corelliasand.gr,2897-23504,,Ανισσαράς,700 14,ΦΡΟΥΔΙΑ,,,
ΜΑΛΛΙΑ ΜΠΗΤΣ,"


0.8 Χλμ
",4,www.maliabeach.gr,reservation.maliabeach@dessolehotel.com,28970-31003,28970-31303,Μάλια,700 07,ΜΑΛΛΙΑ,,2897-031003,2897-031303
ΜΑΛΛΙΑ ΣΤΟΥΝΤΙΟΣ,"


1 Χλμ
",2,www.maliastudioshotel.com,reservation@maliastudioshotel.com,2810-213378,2810-213378,Μάλια,700 07,ΜΑΛΛΙΑ ΗΡΑΚΛΕΙΟΥ ΚΡΗΤΗΣ,28970-31655,281-0213378,281-0213378
ΜΑΛΛΙΑ ΧΟΛΙΝΤΕΙΣ,"


0.3 Χλμ
",3,www.maliaholidays.gr,maliaholidays@gmail.com,28970-31206,28970-31565,Μάλια,700 07,,,,
ΜΑΛΛΙΩΤΑΚΗΣ ΜΠΗΤΣ,"


0.1 Χλμ
",3,,jiannis2008@live.com,28970-32073,28970-32434,Μάλια,700 07,,,,
ΜΑΛΟΥ,"


4 Χλμ
",3,www.malou-apartments.gr,info@malou-apartments.gr,28210-32332,28210-32133,Δαράτσος,731 00,ΚΑΤΩ ΔΑΡΑΤΣΟ ΧΑΝΙΩΝ,,2821-032332,
ΜΑΜΑ ΝΕΝΑ,,3,,info@mamanena.gr,28210-93444,,Χανιά,731 31,ΖΑΜΠΕΛΙΟΥ 30,,,
ΜΑΝΙΑΣ,"


9 Χλμ
",1,,manias.hotel@gmail.com,28210-60288,28210-68838,Αγία Μαρίνα,730 14,ΑΓ.ΜΑΡΙΝΑ Ν.ΚΥΔΩΝΙΑΣ ΧΑΝΙΩΝ,,,
ΜΑΝΟΣ ΜΑΡΙΑ,,4,www.manosmariahotel.gr,info@manosmariahotel.gr,28970-29190,28970-29190,Λιμένας Χερσονήσου,700 14,ΔΑΙΔΑΛΟΥ 4,,,
ΜΑΝΤΕΝΙΑ,"


4 Χλμ
",3,www.manteniahotel.gr,mantenia@otenet.gr,28310-27054,28310-54629,Ρέθυμνο,741 00,,28310-55164,2831-055164,2831-054629
ΜΑΝΤΟΝΑ,,3,,madonnastudios@yahoo.co.uk,28210-94747,28210-76602,Χανιά,731 00,ΑΝΤ.ΓΑΜΠΑ 33,,,
ΜΑΝΤΡΑΚΙ,"


0.7 Χλμ
",3,www.mantraki.gr,info@mantraki.gr,28410-28880,28410-28098,Άγιος Νικόλαος,721 00,ΚΑΠΕΤΑΝ ΤΑΒΛΑ 1,6944-987004,21-04182379,21-04184964
ΜΑΡΑΒΕΛ,"


4.5 Χλμ
",4,www.maravel.gr,info@maravel.gr,28310-72916,28310-71535,Αδελιανός Κάμπος,741 00,ΑΔΕΛΙΑΝΟΣ ΚΑΜΠΟΣ ΡΕΘΥΜΝΟΥ,28310-71271,2831-071271,2831-071535
ΜΑΡΑΒΕΛ ΛΑΝΤ,"


6.5 Χλμ
",3,www.maravelland.gr,marland@otenet.gr,28310-71063,28310-71063,Αδελιανός Κάμπος,741 00,ΑΔΕΛΙΑΝΟΣ ΚΑΜΠΟΣ ΡΕΘΥΜΝΟΥ,2831071064,,2831-071063
ΜΑΡΑΒΕΛ ΣΤΑΡ ΑΡΤ,,4,www.maravelstar.gr,info@maravelstar.gr,2831071058,,Ρέθυμνο,74100,ΠΑΛΑΙΑ ΕΘΝΙΚΗ ΟΔΟΣ ΡΕΘΥΜΝΟΥ-ΗΡΑΚΛΕΙΟΥ,,,
ΜΑΡΑΚΑΣ,"


10 Χλμ
",2,www.marakasbeach-apts.gr,info@marakasbeach-apts.gr,28210-38147,28210-36591,Σταλός,731 00,,,,
ΜΑΡΑΚΗΣ,"


0.5 Χλμ
",2,www.marakishotel.gr,info@hotelmarakis.gr,28210-60985,28210-84918,Πλατανιάς,730 14,ΠΛΑΤΑΝΙΑΣ ΚΥΔ.ΧΑΝΙΩΝ,,2821-38033,
ΜΑΡΑΚΗΣ ΙΙ,"


0.5 Χλμ
",2,www.marakishotel.gr,info@marakishotel.gr,28210-60985,28210-84918,Πλατανιάς,730 14,ΠΛΑΤΑΝΙΑΣ ΧΑΝΙΩΝ,,2821-096821,
ΜΑΡΕ – ΘΑΛΑΣΣΑ,"


1 Χλμ
",2,www.miramarecrete.gr,mare@miramarecrete.gr,28410-25144,28410-82890,Άγιος Νικόλαος,721 00,ΕΒΑΝΣ & ΤΣΕΛΕΠΗ,,,
ΜΑΡΕ ΜΟΝΤΕ,"


20 Χλμ
",4,www.mare-monte-beach.com,info@mare-monte-beach.com,28250-61390,28250-61274,Γεωργιούπολη,730 07,ΓΕΩΡΓΙΟΥΠΟΛΗ ΧΑΝΙΩΝ,,2825-061390,2825-061274
ΜΑΡΕΒΑ,"


1 Χλμ
",1,www.mareva-apts.com,aretigio@gmail.com,6985711557,28970-22763,Ηράκλειο,700 14,ΑΓ.ΒΑΣΙΛΕΙΟΥ 21,28970-25458,6985711557,2897022763
ΜΑΡΕΛΙΝΑ,"


22 Χλμ
",3,www.marelina-villas.gr,info@marelina-villas.gr,28340-51597,28340-51598,Πάνορμος,740 57,ΠΑΝΟΡΜΟΣ ΡΕΘΥΜΝΟΥ,,,
ΜΑΡΕΜ,"


0.5 Χλμ
",2,,info@cinelandpantelis.gr,28310-51403,28310-51403,Ρέθυμνο,741 00,ΕΜΜ.ΠΟΡΤΑΛΛΙΟΥ 5,,2831-029241,
ΜΑΡΙ,,2,,maribeach@gmail.com,28310-61569,28310-61520,Δράμια,730 07,ΔΡΑΜΙΑ ΑΠΟΚΟΡΩΝΟΥ ΧΑΝΙΑ,28310-61581,,
ΜΑΡΙ ΚΕΛΛΥ,"


1.5 Χλμ
",3,www.marie-kelly.gr,info@mariekelly.gr,28970-42265,28970-41922,Κάτω Γούβες,700 14,,,2897042265,2897041922
ΜΑΡΙ-ΕΛΕΝ,"


2 Χλμ
",2,,,28920-51268,,Κόκκινος Πύργος,702 00,ΚΟΚΚΙΝΟΣ ΠΥΡΓΟΣ ΗΡΑΚΛΕΙΟΥ,28920-52385,2892-053073,
ΜΑΡΙ-ΚΡΙΣΤΙΝ,"


1 Χλμ
",4,www.marikristin.gr,reservations@marikristin.gr,28970-22537,28970-21313,Λιμένας Χερσονήσου,700 14,ΕΛΕΥΘΕΡΙΟΥ ΒΕΝΙΖΕΛΟΥ 179,28970-22493,2897-022537,2897-021313
ΜΑΡΙΑ,"


0.05 Χλμ
",3,,mariahotel2020@gmail.com,28970-22580,,Λιμένας Χερσονήσου,700 14,ΣΑΝΟΥΔΑΚΗ 29,,6947566451,
ΜΑΡΙΑ ΡΟΥΣ,"


0.3 Χλμ
",3,www.mariarousse.gr,info@mariarousse.gr,28970-32708,28970-32708,Μάλια,700 07,,28970-31773,6944-514439,
ΜΑΡΙΑ ΧΩΡΙΟ,,4,,,2810-761070,,Χάνι Κοκκίνη,715 00,ΚΟΚΚΙΝΙ ΧΑΝΙ ΗΡΑΚΛΕΙΟΥ,,,
ΜΑΡΙΑ-ΓΙΩΡΓΟΣ,"


1 Χλμ
",2,,palmera1@otenet.gr,28970-22991,28970-22483,Λιμένας Χερσονήσου,700 14,ΜΑΧΗΣ ΚΡΗΤΗΣ 3,28970-22482,,
ΜΑΡΙΑΝΑ,"


0.2 Χλμ
",2,,xen-map@sit.forthnet.gr,28430-22088,,Σητεία,723 00,ΜΥΣΣΩΝΟΣ 67,28430-22386,2843-022408,
ΜΑΡΙΑΝΘΗ,,2,,,28210-32549,,Γαλατάς,731 00,ΚΑΤΩ ΓΑΛΑΤΑΣ ΧΑΝΙΩΝ,,,
ΜΑΡΙΑΝΝΑ,,2,,info@mariannahotel.gr,28970-22709,28970-21001,Λιμένας Χερσονήσου,700 14,ΔΗΜΟΚΡΑΤΙΑΣ 32,,,
ΜΑΡΙΕΤΑ 2,,2,,,28970-22081,,Λιμένας Χερσονήσου,700 14,ΛΙΜΕΝΑΣ ΧΕΡΣΟΝΗΣΟΥ,,,
ΜΑΡΙΚΑ,,3,www.marika-hotel.gr,info@marikahotel.gr,2821060711,28210-60161,Πλατανιάς,730 14,ΠΛΑΤΑΝΙΑΣ ΚΥΔ.ΧΑΝΙΩΝ,2821060711,,
ΜΑΡΙΛΕΝΑ,"


5 Χλμ
",4,www.marilenahotel.gr,info@marilenahotel.gr,2810-254312,2810-254390,Γάζι,714 14,ΑΜΜΟΥΔΑΡΑ ΗΡΑΚΛΕΙΟΥ,,281-0250672,
ΜΑΡΙΛΙΑΝΑ,"


2 Χλμ
",2,www.mariliana.com,marilianahotel@yahoo.gr,28210-60465,28210-60465,Πλατανιάς,731 00,,,,
ΜΑΡΙΛΙΖΑ,"


16 Χλμ
",3,https://www.shotels.gr/accommodation/sunset-beach/,book.sunset@shotels.gr,+302810761553,,Βαθειανός Κάμπος,715 00,,,,
ΜΑΡΙΝ,"


0.2 Χλμ
",2,www.marinhotel.gr,m.kalaitzakis@marinhotel.gr,6932633527,2810-300319,Ηράκλειο,712 02,ΕΠΙΜΕΝΙΔΟΥ 46,2810-300019,,
ΜΑΡΙΝ ΠΑΛΛΑΣ ΣΟΥΪΤΕΣ,,4,www.grecotel.gr,reservations.cm@grecotel.com,28340-51610,28340-51603,Πάνορμος,740 57,ΠΑΝΟΡΜΟΣ ΡΕΘΥΜΝΟΥ,,,
ΜΑΡΙΝΑ,"


1 Χλμ
",4,www.zeushotels.gr,manager.marinabeach@zeushotels.gr,28970-41112,28970-43442,Γούβες,700 14,ΓΟΥΒΕΣ ΗΡΑΚΛ.ΚΡΗΤΗΣ,28970-41501,,
ΜΑΡΙΝΑ,"


10 Χλμ
",2,,vozikakis@yahoo.gr,2892045355,28920-45793,Μάταλα,702 00,ΜΑΤΑΛΑ ΗΡΑΚΛΕΙΟΥ ΚΡΗΤΗΣ,,2897-042415,2897-042793
ΜΑΡΙΝΑ,"


0.03 Χλμ
",3,www.marinahotelanogia.gr,marinahotelanogia@yahoo.gr,28340-31817,,Ανώγεια,740 51,ΑΝΩΓΕΙΑ ΡΕΘΥΜΝΗΣ,6974-804012,,
ΜΑΡΙΝΑ ΣΑΝΤΣ – ΑΜΜΟΥΔΙΑ ΜΑΡΙΝΑΣ,"


12 Χλμ
",2,www.marinasands.gr,marinasands1988@gmail.com,28210-68693,28210-68694,Αγία Μαρίνα,731 00,ΑΓ.ΜΑΡΙΝΑ ΧΑΝΙΩΝ,28210-68693,2821-053543,2821-057810
ΜΑΡΙΝΟΣ ΜΠΗΤΣ,"


5 Χλμ
",3,www.marinos-hotel.gr,marhotel@otenet.gr,28310-27840,28310-35362,Ρέθυμνο,741 00,ΠΛΑΤΑΝΕΣ ΡΕΘΥΜΝΗΣ,28310-23701,2831-023701,2831-027840
ΜΑΡΙΡΕΝΑ,"


0.3 Χλμ
",3,www.marirena.gr,info@marirena.gr,2810-821471,2810-821014,Γάζι,715 00,ΑΝΔΡΕΑ ΠΑΠΑΝΔΡΕΟΥ 120,,,
ΜΑΡΙΤΑ,"


0.15 Χλμ
",2,www.villa-marita.gr,info@villa-marita.gr,28970-22310,,Λιμένας Χερσονήσου,700 14,ΣΑΝΟΥΔΑΚΗ 20,,6945-339640,
ΜΑΡΙΤΑ,,3,www.hotelmarita.gr,info@hotelmarita.gr,28210-60405,28210-60134,Αγία Μαρίνα,731 00,ΑΓΙΑ ΜΑΡΙΝΑ ΧΑΝΙΩΝ,6971775096,,
ΜΑΡΙΤΙΜΟ,"


25 Χλμ
",4,www.maritimo.gr,info@maritimo.gr,28410-71645,28410-71273,Σίσι,720 54,ΣΙΣΙ ΛΑΣΗΘΙΟΥ ΚΡΗΤΗΣ,28410-71594,281-0232397,2841-071273
ΜΑΡΚ,,1,https://www.parkhotelcrete.gr/,nikos_mark@windowslive.com,2810315189,,Γάζι,71500,,,,
ΜΑΡΛΕΝΑ,,3,www.marlenahotel.gr,hotel_marlena@hotmail.com,28970-31555,,Σταλίδα,700 07,ΣΤΑΛΙΔΑ ΗΡΑΚΛΕΙΟΥ,,,
ΜΑΡΝΤΙΝΙΚ,"


1 Χλμ
",2,,hatzidam@otenet.gr,28310-54446,28310-54446,Ρέθυμνο,741 00,28ΗΣ ΟΚΤΩΒΡΙΟΥ 7,,2831-027008,
ΜΑΡΟ,"


5 Χλμ
",1,www.family-hotel.gr,info@family-hotel.gr,28970-21174,28970-24417,Ανάληψη,700 14,ΤΑΧ.ΘΥΡΙΔΑ 1129,,6944-611929,
ΜΑΣΤΟΡΑΚΗΣ,"


0.2 Χλμ
",1,www.mastorakishotel.gr,mastorakishotel@gmail.com,28970-22965,28970-24156,Λιμένας Χερσονήσου,700 14,Ν. ΚΑΖΑΝΤΖΑΚΗ,,6976-112173,
ΜΑΣΤΟΡΑΚΗΣ ΧΩΡΙΟ,"


0.2 Χλμ
",2,,m_mastorakis@hotmail.com,28210-38109,28210-38110,Αγία Μαρίνα,731 00,ΑΓΙΑ ΜΑΡΙΝΑ ΧΑΝΙΩΝ,,,
ΜΑΤΑΛΑ ΜΠΑΙΥ,"


10 Χλμ
",3,www.matalabay.gr,info@matalabay.gr,28920-45300,28920-45301,Μάταλα,702 00,ΜΑΤΑΛΑ ΗΡΑΚΛΕΙΟΥ,,2892-024130,2892-045301
ΜΑΤΑΜΥ ΜΠΗΤΣ-ΑΚΤΗ ΜΑΤΑΜΥ,"


0.5 Χλμ
",2,,info@matamybeach.gr,28970-31960,28970-32594,Σταλίδα,700 14,,28970-31961,281-0214313,281-0322052
ΜΑΤΕΟ – ΜΑΤΗΕΟ,"


1 Χλμ
",3,www.hotel-matheo.com,info@hotel-matheo.com,28970-32980,28970-32981,Μάλια,700 07,ΜΑΛΛΙΑ ΗΡΑΚΛ.ΚΡΗΤΗΣ,28970-32982,,
ΜΑΤΖΕΣΤΙΚ Ι-ΜΑΓΙΚΟΣ Ι,,2,,info@majestic-hotel.gr,28210-60900,,Πλατανιάς,731 00,ΠΛΑΤΑΝΙΑΣ ΧΑΝΙΩΝ,,,
ΜΑΤΖΕΣΤΙΚ ΙΙ-ΜΑΓΙΚΟΣ ΙΙ,,2,,info@majestic-hotel.gr,28210-60900,,Πλατανιάς,731 00,ΠΛΑΤΑΝΙΑΣ ΧΑΝΙΩΝ,,,
ΜΑΤΙΑΣ,,2,,eleniprinarimat@gmail.com,23810-72918,,Αδελιανός Κάμπος,741 00,,,,
ΜΑΥΡΟΦΟΡΟΣ,,2,,elenfaitou@yahoo.gr,28410-23714,28410-23977,Άγιος Νικόλαος,721 00,ΧΟΡΤΑΤΣΩΝ 29,,,
ΜΕΓΑΛΗ ΛΕΟΝΙΚΗ,"


5 Χλμ
",4,www.leoniki.com,reservations.le@grecotel.com,28310-29232,28310-51734,Ρέθυμνο,741 00,ΜΑΧΗΣ ΚΡΗΤΗΣ 197,50180,2831-052731,2831-029331
ΜΕΓΑΛΟ ΚΟΝΑΚΙ,,4,,,000-0000000,,Άγιος Ιωάννης,740 54,ΑΓ.ΙΩΑΝΝΗΣ ΜΥΛΟΠΟΤΑΜΟΥ ΡΕΘΥΜΝΟΥ,,,
ΜΕΓΑΛΟ ΞΕΝ/ΧΕΙΟ ΚΑΤΑΦΥΓΙΟ ΔΙΑΚΟΠΩΝ,"


2.5 Χλμ
",4,www.grandhotel.gr,info@grandhotel.gr,28970-26300,28970-26350,Λιμένας Χερσονήσου,700 14,ΔΡΑΠΑΝΟΣ ΗΡΑΚΛΕΙΟΥ ΚΡΗΤΗΣ,,,
ΜΕΓΑΡΟΝ ΤΖΙ ΝΤΙ ΜΙ,"


0.05 Χλμ
",5,www.gdmmegaron.com,accounting@gdmmegaron.com,2810-305300,2810-305400,Ηράκλειο,712 02,ΔΟΥΚΟΣ ΜΠΟΦΩΡ 9,2810305343,,
ΜΕΓΑΣ ΑΛΕΞΑΝΔΡΟΣ,"


3 Χλμ
",2,,alexstylianak@gmail.com,28210-60061,,Αγία Μαρίνα,731 00,ΑΓΙΑ ΜΑΡΙΝΑ ΧΑΝΙΩΝ,,2821-095762,2821-095762
ΜΕΓΚΙΜ,"


3 Χλμ
",2,www.megimhotel.com,info@megimhotel.gr,28230-41690,28230-41184,Παλαιοχώρα,730 01,ΠΑΛΑΙΟΧΩΡΑ ΧΑΝΙΩΝ,28230-41656,6979-117869,2823-041184
ΜΕΔΟΥΣΑ,"


0.8 Χλμ
",2,www.medousahotel.gr,info@medousahotel.gr,28310-27937,28310-26408,Ρέθυμνο,741 00,ΣΟΦΟΚΛΗ ΒΕΝΙΖΕΛΟΥ & ΠΑΝΕΠΙΣΤΗΜΙΟΥ,,,
ΜΕΔΟΥΣΑ,"


0.05 Χλμ
",1,,efvit@otenet.gr,28210-68176,28210-60590,Πλατανιάς,731 00,,28210-60822,2821-042171,2821-075601
ΜΕΛΑΣ ΑΠΑΡΤΜΕΝΤΣ,"


0.3 Χλμ
",2,,melasgeo@yahoo.com,28410-28734,28410-28734,Άγιος Νικόλαος,721 00,ΑΚΤΗ ΚΟΥΝΔΟΥΡΟΥ 26,6946288837,21-06740133,21-08137633
ΜΕΛΙ ΠΑΛΑΤΙ,"


25 Χλμ
",4,www.melipalace.com,reservations.ml@grecotel.com,28410-71502,28410-71070,Σίσι,724 00,ΑΓΙΑ ΒΑΡΒΑΡΑ ΣΙΣΣΙ,,,
ΜΕΛΙΔΟΝΙ Χ ΧΩΡΙΟ,,3,www.melidonixvillage.com,troas_1@hotmail.com,6944263283,,Μελιδόνι,740 52,ΜΕΛΙΔΟΝΙ ΡΕΘΥΜΝΗΣ,,6944263283,
ΜΕΛΙΣΣΑ,"


18 Χλμ
",3,www.melissahotel.com,melissa_hotel@yahoo.com,28920-29640,28920-45780,Μάταλα,702 00,,,2892-022874,2892-029126
ΜΕΛΙΤΙ,"


2 Χλμ
",4,www.sgourosgrouphotels.com,pavlos.n@minoansummer.gr,28410-23067,28410-24330,Άγιος Νικόλαος,721 00,ΧΑΒΑΝΙΑ ΑΓ.ΝΙΚΟΛΑΟΥ ΚΡΗΤΗΣ,28410-243312,2810-222111,
ΜΕΛΙΤΤΗ,"


3 Χλμ
",2,www.melitti.gr,info@melitti.gr,28310-56696,28310-54385,Ρέθυμνο,741 00,ΣΓΟΥΡΑΦΟΓΙΑΝΝΗ 12,,2831-028611,2831-028917
ΜΕΛΜΑΡ,"


2 Χλμ
",2,www.melmarhotel.gr,info@melmarhotel.gr,28310-54908,28310-54909,Ρέθυμνο,741 00,ΜΑΧΗΤΩΝ ΣΧ.ΧΩΡΟΦΥΛΑΚ. 20,,2831-052013,
ΜΕΛΠΩ,"


0.2 Χλμ
",2,www.melpo-hotel.gr,melpohot@otenet.gr,28970-22350,28970-22646,Λιμένας Χερσονήσου,700 14,ΕΛΕΥΘ. ΒΕΝΙΖΕΛΟΥ 152,,2897-022350,2897-022646
ΜΕΝΙΑ,"


0.2 Χλμ
",2,www.zorbastravel.gr,zorbas@otenet.gr,28210-38068,28210-60945,Πλατανιάς,730 14,,,,
ΜΕΝΙΑ 2,"


0.8 Χλμ
",2,www.meniahotel.com,zorbas@otenet.gr,28210-83603,28210-60945,Πλατανιάς,731 00,ΠΛΑΤΑΝΙΑΣ ΧΑΝΙΩΝ,,6944-660495,
ΜΕΝΤΑ,,3,,manager@mentahotel.gr,28310-30730,28310-56614,Ρέθυμνο,741 00,ΨΥΧΟΥΝΤΑΚΗ 26,,,
ΜΕΝΤΙΤΕΡΑΝΕΟ,"


1.5 Χλμ
",4,www.mediterraneohotel.gr,info@mediterraneohotel.gr,28970-25328,28970-29240,Λιμένας Χερσονήσου,700 14,ΚΑΜΙΝΑ ΛΙΜ.ΧΕΡΣΟΝΗΣΟΥ ΗΡΑΚΛΕΙΟΥ,28970-25329,,
ΜΕΡΟΠΗ,"


0.5 Χλμ
",4,www.meropihotel.gr,info@meropihotel.gr,28970-31160,28970-31036,Μάλια,700 07,ΓΡΑΜΜΑΤΙΚΑΚΗ,,2897-031160,2897-031036
ΜΕΡΤΙΖΑ,,2,,info@mertiza.com,28420-51208,,Μύρτος,720 56,ΜΥΡΤΟΣ ΙΕΡΑΠΕΤΡΑΣ ΚΡΗΤΗΣ,,,
ΜΕΣΟΓΕΙΟΣ,"


4 Χλμ
",2,WWW.mediterranea-apts.com,info@mediterranea-apts.com,28210-33234,,Δαράτσος,731 00,,28210-33278,,
ΜΕΣΟΓΕΙΟΣ ΘΑΛΑΣΣΑ,"


17 Χλμ
",2,www.mediterranean-sea.gr,john.kalogridis@yahoo.com,28230-41286,28230-41286,Παλαιοχώρα,730 01,ΠΑΛΑΙΟΧΩΡΑ ΧΑΝΙΩΝ,,2823-041286,
ΜΕΤΟΧΙ ΒΑΙ,,3,,,28430-61546,,Τοπλού,723 00,ΤΟΠΛΟΥ ΣΗΤΕΙΑΣ ΛΑΣΗΘΙΟΥ,,,
